#At time x process y state arr w total z remain y wait k
At time 86 process 8 stopped arr 31 total 24 remain 14 wait 45
At time 86 process 4 resumed arr 20 total 16 remain 4 wait 54
At time 88 process 4 stopped arr 20 total 16 remain 2 wait 54
At time 88 process 1 resumed arr 6 total 27 remain 5 wait 60
At time 90 process 1 stopped arr 6 total 27 remain 3 wait 60
At time 90 process 5 resumed arr 24 total 22 remain 10 wait 54
At time 92 process 5 stopped arr 24 total 22 remain 8 wait 54
At time 92 process 7 resumed arr 31 total 12 remain 2 wait 51
At time 94 process 7 stopped arr 31 total 12 remain 0 wait 51
At time 94 process 8 resumed arr 31 total 24 remain 14 wait 53
At time 96 process 8 stopped arr 31 total 24 remain 12 wait 53
At time 96 process 4 resumed arr 20 total 16 remain 2 wait 62
At time 98 process 4 stopped arr 20 total 16 remain 0 wait 62
At time 98 process 1 resumed arr 6 total 27 remain 3 wait 68
At time 100 process 1 stopped arr 6 total 27 remain 1 wait 68
At time 100 process 5 resumed arr 24 total 22 remain 8 wait 62
At time 102 process 5 stopped arr 24 total 22 remain 6 wait 62
At time 102 process 7 resumed arr 31 total 12 remain 0 wait 59
At time 102 process 7 finished arr 31 total 12 remain 0 wait 59 TA 71 WTA = 5.92
At time 102 process 8 resumed arr 31 total 24 remain 12 wait 59
At time 104 process 8 stopped arr 31 total 24 remain 10 wait 59
At time 104 process 4 resumed arr 20 total 16 remain 0 wait 68
At time 104 process 4 finished arr 20 total 16 remain 0 wait 68 TA 84 WTA = 5.25
At time 104 process 1 resumed arr 6 total 27 remain 1 wait 72
At time 105 process 1 finished arr 6 total 27 remain 0 wait 72 TA 99 WTA = 3.67
At time 105 process 5 resumed arr 24 total 22 remain 6 wait 65
At time 107 process 5 stopped arr 24 total 22 remain 4 wait 65
At time 107 process 8 resumed arr 31 total 24 remain 10 wait 62
At time 109 process 8 stopped arr 31 total 24 remain 8 wait 62
At time 109 process 5 resumed arr 24 total 22 remain 4 wait 67
At time 111 process 5 stopped arr 24 total 22 remain 2 wait 67
At time 111 process 8 resumed arr 31 total 24 remain 8 wait 64
At time 113 process 8 stopped arr 31 total 24 remain 6 wait 64
At time 113 process 5 resumed arr 24 total 22 remain 2 wait 69
At time 115 process 5 stopped arr 24 total 22 remain 0 wait 69
At time 115 process 8 resumed arr 31 total 24 remain 6 wait 66
At time 117 process 8 stopped arr 31 total 24 remain 4 wait 66
At time 117 process 5 resumed arr 24 total 22 remain 0 wait 71
At time 117 process 5 finished arr 24 total 22 remain 0 wait 71 TA 93 WTA = 4.23
At time 117 process 8 resumed arr 31 total 24 remain 4 wait 66
At time 119 process 8 stopped arr 31 total 24 remain 2 wait 66
At time 119 process 8 resumed arr 31 total 24 remain 2 wait 66
At time 121 process 8 stopped arr 31 total 24 remain 0 wait 66
At time 121 process 8 resumed arr 31 total 24 remain 0 wait 66
At time 121 process 8 finished arr 31 total 24 remain 0 wait 66 TA 90 WTA = 3.75
